Distancia [mm],Amplitud [mVpp],Escala [mV],Error del promedio [mV]
10.00,6520.0,1000,40
12.00,4160.0,1000,40
15.00,3780.0,1000,20
17.00,4080.0,1000,20
20.00,2882.0,500,20
25.00,2860.0,500,20
30.00,2760.0,500,20
35.00,2040.0,500,20
40.00,1060.0,200,10
45.00,752.0,200,10
50.00,628.0,200,10
55.00,668.0,200,10
60.00,888.0,200,10
65.00,1080.0,200,10
70.00,888.0,200,10
75.00,548.0,100,2
80.00,580.0,100,4
85.00,448.0,100,2
90.00,492.0,100,2
95.00,560.0,100,4
100.00,524.0,100,4
105.00,500.0,100,4
110.00,388.0,50,2
120.00,350.0,50,2
130.00,410.0,50,2
140.00,402.0,50,2
150.00,286.0,50,2
160.00,290.0,50,2
170.00,314.0,50,2
180.00,258.0,50,2
200.00,266.0,50,2
220.00,216.0,50,2
240.00,236.0,50,2
