Distancia [mm],Amplitud [mVpp],Escala [mVpp],Error [mVpp]
10.0,4880.0,1000.0,20.0
11.0,5560.0,1000.0,20.0
12.0,4880.0,1000.0,20.0
13.0,3920.0,500.0,10.0
14.0,3040.0,500.0,10.0
14.5,3280.0,500.0,40.0
15.0,3440.0,500.0,10.0
15.5,3648.0,500.0,10.0
16.0,3760.0,500.0,10.0
16.5,3760.0,500.0,10.0
17.0,3600.0,500.0,10.0
17.5,3000.0,500.0,10.0
18.0,2260.0,500.0,10.0
18.5,2080.0,500.0,10.0
19.0,2200.0,500.0,10.0
19.5,2500.0,500.0,20.0
20.0,2690.0,500.0,20.0
20.5,2840.0,500.0,20.0
21.0,2920.0,500.0,20.0
21.5,2900.0,500.0,10.0
22.0,2440.0,500.0,10.0
22.5,1600.0,200.0,100.0
23.0,1360.0,200.0,10.0
23.5,1600.0,500.0,10.0
24.0,1820.0,500.0,10.0
24.5,2060.0,500.0,20.0
25.0,2340.0,500.0,10.0
25.5,2620.0,500.0,2.0
26.0,2580.0,500.0,10.0
26.5,1820.0,500.0,20.0
27.0,1020.0,200.0,10.0
28.0,1030.0,200.0,10.0
29.0,1660.0,500.0,20.0
30.0,2180.0,500.0,10.0
31.0,1540.0,200.0,10.0
32.0,656.0,100.0,10.0
33.0,896.0,100.0,10.0
34.0,1440.0,200.0,10.0
35.0,1680.0,500.0,10.0
36.0,728.0,200.0,10.0
37.0,664.0,100.0,10.0
38.0,920.0,200.0,10.0
39.0,1550.0,200.0,10.0
40.0,740.0,100.0,10.0
41.0,508.0,100.0,10.0
42.0,684.0,100.0,8.0
43.0,1180.0,200.0,10.0
44.0,912.0,200.0,10.0
45.0,500.0,100.0,5.0
46.0,464.0,100.0,2.0
47.0,795.0,100.0,10.0
48.0,1020.0,200.0,20.0
49.0,572.0,100.0,10.0
50.0,428.0,100.0,5.0
51.0,580.0,100.0,8.0
52.0,950.0,200.0,6.0
53.0,600.0,100.0,4.0
54.0,390.0,50.0,6.0
55.0,476.0,100.0,2.0
56.0,780.0,100.0,10.0
57.0,640.0,100.0,10.0
58.0,400.0,100.0,8.0
59.0,412.0,100.0,4.0
60.0,600.0,100.0,4.0
61.0,630.0,100.0,10.0
62.0,420.0,100.0,1.0
63.0,348.0,50.0,4.0
64.0,450.0,100.0,2.0
65.0,680.0,100.0,4.0
66.0,460.0,100.0,6.0
67.0,340.0,50.0,4.0
68.0,370.0,50.0,8.0
69.0,610.0,100.0,10.0
70.0,540.0,100.0,4.0
71.0,352.0,50.0,2.0
72.0,340.0,50.0,40.0
73.0,468.0,100.0,8.0
74.0,516.0,100.0,2.0
75.0,348.0,100.0,4.0
84.0,300.0,50.0,4.0
93.0,286.0,50.0,2.0
102.0,272.0,50.0,2.0
111.0,270.0,50.0,2.0
